#           k/h    P           
    0.10000E-03    0.10713E+02
    0.10202E-03    0.10922E+02
    0.10408E-03    0.11135E+02
    0.10618E-03    0.11352E+02
    0.10833E-03    0.11573E+02
    0.11052E-03    0.11799E+02
    0.11275E-03    0.12029E+02
    0.11503E-03    0.12264E+02
    0.11735E-03    0.12503E+02
    0.11972E-03    0.12747E+02
    0.12214E-03    0.12995E+02
    0.12461E-03    0.13249E+02
    0.12712E-03    0.13507E+02
    0.12969E-03    0.13770E+02
    0.13231E-03    0.14039E+02
    0.13499E-03    0.14313E+02
    0.13771E-03    0.14592E+02
    0.14049E-03    0.14876E+02
    0.14333E-03    0.15166E+02
    0.14623E-03    0.15462E+02
    0.14918E-03    0.15763E+02
    0.15220E-03    0.16071E+02
    0.15527E-03    0.16384E+02
    0.15841E-03    0.16703E+02
    0.16161E-03    0.17029E+02
    0.16487E-03    0.17361E+02
    0.16820E-03    0.17699E+02
    0.17160E-03    0.18044E+02
    0.17507E-03    0.18396E+02
    0.17860E-03    0.18754E+02
    0.18221E-03    0.19120E+02
    0.18589E-03    0.19492E+02
    0.18965E-03    0.19872E+02
    0.19348E-03    0.20260E+02
    0.19739E-03    0.20654E+02
    0.20138E-03    0.21057E+02
    0.20544E-03    0.21467E+02
    0.20959E-03    0.21885E+02
    0.21383E-03    0.22312E+02
    0.21815E-03    0.22746E+02
    0.22255E-03    0.23189E+02
    0.22705E-03    0.23641E+02
    0.23164E-03    0.24102E+02
    0.23632E-03    0.24571E+02
    0.24109E-03    0.25050E+02
    0.24596E-03    0.25537E+02
    0.25093E-03    0.26035E+02
    0.25600E-03    0.26542E+02
    0.26117E-03    0.27058E+02
    0.26645E-03    0.27585E+02
    0.27183E-03    0.28122E+02
    0.27732E-03    0.28669E+02
    0.28292E-03    0.29227E+02
    0.28864E-03    0.29796E+02
    0.29447E-03    0.30376E+02
    0.30042E-03    0.30967E+02
    0.30649E-03    0.31570E+02
    0.31268E-03    0.32184E+02
    0.31899E-03    0.32810E+02
    0.32544E-03    0.33448E+02
    0.33201E-03    0.34098E+02
    0.33872E-03    0.34761E+02
    0.34556E-03    0.35437E+02
    0.35254E-03    0.36126E+02
    0.35966E-03    0.36828E+02
    0.36693E-03    0.37544E+02
    0.37434E-03    0.38273E+02
    0.38190E-03    0.39017E+02
    0.38962E-03    0.39775E+02
    0.39749E-03    0.40547E+02
    0.40552E-03    0.41334E+02
    0.41371E-03    0.42137E+02
    0.42207E-03    0.42955E+02
    0.43060E-03    0.43788E+02
    0.43929E-03    0.44638E+02
    0.44817E-03    0.45503E+02
    0.45722E-03    0.46386E+02
    0.46646E-03    0.47285E+02
    0.47588E-03    0.48202E+02
    0.48550E-03    0.49136E+02
    0.49530E-03    0.50088E+02
    0.50531E-03    0.51058E+02
    0.51552E-03    0.52046E+02
    0.52593E-03    0.53054E+02
    0.53656E-03    0.54080E+02
    0.54739E-03    0.55126E+02
    0.55845E-03    0.56192E+02
    0.56973E-03    0.57279E+02
    0.58124E-03    0.58386E+02
    0.59299E-03    0.59513E+02
    0.60496E-03    0.60662E+02
    0.61719E-03    0.61833E+02
    0.62965E-03    0.63026E+02
    0.64237E-03    0.64242E+02
    0.65535E-03    0.65480E+02
    0.66859E-03    0.66742E+02
    0.68210E-03    0.68027E+02
    0.69588E-03    0.69336E+02
    0.70993E-03    0.70670E+02
    0.72427E-03    0.72029E+02
    0.73891E-03    0.73413E+02
    0.75383E-03    0.74823E+02
    0.76906E-03    0.76259E+02
    0.78460E-03    0.77722E+02
    0.80045E-03    0.79212E+02
    0.81662E-03    0.80729E+02
    0.83311E-03    0.82274E+02
    0.84994E-03    0.83848E+02
    0.86711E-03    0.85451E+02
    0.88463E-03    0.87083E+02
