#           k/h    P           
    0.10000E-03    0.13172E+03
    0.10202E-03    0.13429E+03
    0.10408E-03    0.13691E+03
    0.10618E-03    0.13958E+03
    0.10833E-03    0.14230E+03
    0.11052E-03    0.14508E+03
    0.11275E-03    0.14790E+03
    0.11503E-03    0.15079E+03
    0.11735E-03    0.15373E+03
    0.11972E-03    0.15673E+03
    0.12214E-03    0.15978E+03
    0.12461E-03    0.16290E+03
    0.12712E-03    0.16607E+03
    0.12969E-03    0.16931E+03
    0.13231E-03    0.17261E+03
    0.13499E-03    0.17597E+03
    0.13771E-03    0.17940E+03
    0.14049E-03    0.18290E+03
    0.14333E-03    0.18647E+03
    0.14623E-03    0.19010E+03
    0.14918E-03    0.19381E+03
    0.15220E-03    0.19758E+03
    0.15527E-03    0.20143E+03
    0.15841E-03    0.20536E+03
    0.16161E-03    0.20936E+03
    0.16487E-03    0.21344E+03
    0.16820E-03    0.21760E+03
    0.17160E-03    0.22184E+03
    0.17507E-03    0.22616E+03
    0.17860E-03    0.23057E+03
    0.18221E-03    0.23506E+03
    0.18589E-03    0.23964E+03
    0.18965E-03    0.24431E+03
    0.19348E-03    0.24907E+03
    0.19739E-03    0.25392E+03
    0.20138E-03    0.25886E+03
    0.20544E-03    0.26391E+03
    0.20959E-03    0.26905E+03
    0.21383E-03    0.27428E+03
    0.21815E-03    0.27962E+03
    0.22255E-03    0.28507E+03
    0.22705E-03    0.29062E+03
    0.23164E-03    0.29628E+03
    0.23632E-03    0.30204E+03
    0.24109E-03    0.30792E+03
    0.24596E-03    0.31391E+03
    0.25093E-03    0.32002E+03
    0.25600E-03    0.32625E+03
    0.26117E-03    0.33260E+03
    0.26645E-03    0.33907E+03
    0.27183E-03    0.34566E+03
    0.27732E-03    0.35239E+03
    0.28292E-03    0.35924E+03
    0.28864E-03    0.36622E+03
    0.29447E-03    0.37334E+03
    0.30042E-03    0.38060E+03
    0.30649E-03    0.38800E+03
    0.31268E-03    0.39554E+03
    0.31899E-03    0.40322E+03
    0.32544E-03    0.41106E+03
    0.33201E-03    0.41904E+03
    0.33872E-03    0.42718E+03
    0.34556E-03    0.43548E+03
    0.35254E-03    0.44393E+03
    0.35966E-03    0.45255E+03
    0.36693E-03    0.46133E+03
    0.37434E-03    0.47028E+03
    0.38190E-03    0.47940E+03
    0.38962E-03    0.48870E+03
    0.39749E-03    0.49818E+03
    0.40552E-03    0.50783E+03
    0.41371E-03    0.51768E+03
    0.42207E-03    0.52771E+03
    0.43060E-03    0.53793E+03
    0.43929E-03    0.54835E+03
    0.44817E-03    0.55896E+03
    0.45722E-03    0.56978E+03
    0.46646E-03    0.58080E+03
    0.47588E-03    0.59204E+03
    0.48550E-03    0.60349E+03
    0.49530E-03    0.61515E+03
    0.50531E-03    0.62704E+03
    0.51552E-03    0.63915E+03
    0.52593E-03    0.65149E+03
    0.53656E-03    0.66407E+03
    0.54739E-03    0.67688E+03
    0.55845E-03    0.68993E+03
    0.56973E-03    0.70323E+03
    0.58124E-03    0.71678E+03
    0.59299E-03    0.73059E+03
    0.60496E-03    0.74465E+03
    0.61719E-03    0.75898E+03
    0.62965E-03    0.77358E+03
    0.64237E-03    0.78844E+03
    0.65535E-03    0.80359E+03
    0.66859E-03    0.81902E+03
    0.68210E-03    0.83474E+03
    0.69588E-03    0.85075E+03
    0.70993E-03    0.86705E+03
    0.72427E-03    0.88366E+03
    0.73891E-03    0.90057E+03
    0.75383E-03    0.91780E+03
    0.76906E-03    0.93535E+03
    0.78460E-03    0.95321E+03
    0.80045E-03    0.97141E+03
    0.81662E-03    0.98994E+03
    0.83311E-03    0.10088E+04
    0.84994E-03    0.10280E+04
    0.86711E-03    0.10476E+04
    0.88463E-03    0.10675E+04
    0.90250E-03    0.10878E+04
    0.92073E-03    0.11084E+04
    0.93933E-03    0.11294E+04
    0.95831E-03    0.11508E+04
    0.97767E-03    0.11726E+04
    0.99742E-03    0.11948E+04
    0.10176E-02    0.12173E+04
    0.10381E-02    0.12403E+04
    0.10591E-02    0.12637E+04
    0.10805E-02    0.12875E+04
    0.11023E-02    0.13117E+04
    0.11246E-02    0.13363E+04
    0.11473E-02    0.13614E+04
    0.11705E-02    0.13869E+04
    0.11941E-02    0.14128E+04
    0.12182E-02    0.14392E+04
    0.12429E-02    0.14661E+04
    0.12680E-02    0.14934E+04
