#           k/h    P           
    0.10000E-03    0.97875E+02
    0.10202E-03    0.99784E+02
    0.10408E-03    0.10173E+03
    0.10618E-03    0.10371E+03
    0.10833E-03    0.10574E+03
    0.11052E-03    0.10780E+03
    0.11275E-03    0.10990E+03
    0.11503E-03    0.11204E+03
    0.11735E-03    0.11423E+03
    0.11972E-03    0.11645E+03
    0.12214E-03    0.11872E+03
    0.12461E-03    0.12104E+03
    0.12712E-03    0.12340E+03
    0.12969E-03    0.12580E+03
    0.13231E-03    0.12826E+03
    0.13499E-03    0.13076E+03
    0.13771E-03    0.13331E+03
    0.14049E-03    0.13590E+03
    0.14333E-03    0.13855E+03
    0.14623E-03    0.14125E+03
    0.14918E-03    0.14401E+03
    0.15220E-03    0.14681E+03
    0.15527E-03    0.14968E+03
    0.15841E-03    0.15259E+03
    0.16161E-03    0.15557E+03
    0.16487E-03    0.15860E+03
    0.16820E-03    0.16169E+03
    0.17160E-03    0.16484E+03
    0.17507E-03    0.16805E+03
    0.17860E-03    0.17132E+03
    0.18221E-03    0.17466E+03
    0.18589E-03    0.17807E+03
    0.18965E-03    0.18153E+03
    0.19348E-03    0.18507E+03
    0.19739E-03    0.18868E+03
    0.20138E-03    0.19235E+03
    0.20544E-03    0.19610E+03
    0.20959E-03    0.19992E+03
    0.21383E-03    0.20381E+03
    0.21815E-03    0.20778E+03
    0.22255E-03    0.21182E+03
    0.22705E-03    0.21595E+03
    0.23164E-03    0.22015E+03
    0.23632E-03    0.22444E+03
    0.24109E-03    0.22881E+03
    0.24596E-03    0.23326E+03
    0.25093E-03    0.23780E+03
    0.25600E-03    0.24242E+03
    0.26117E-03    0.24714E+03
    0.26645E-03    0.25195E+03
    0.27183E-03    0.25685E+03
    0.27732E-03    0.26185E+03
    0.28292E-03    0.26694E+03
    0.28864E-03    0.27213E+03
    0.29447E-03    0.27742E+03
    0.30042E-03    0.28282E+03
    0.30649E-03    0.28831E+03
    0.31268E-03    0.29392E+03
    0.31899E-03    0.29963E+03
    0.32544E-03    0.30545E+03
    0.33201E-03    0.31138E+03
    0.33872E-03    0.31743E+03
    0.34556E-03    0.32360E+03
    0.35254E-03    0.32988E+03
    0.35966E-03    0.33628E+03
    0.36693E-03    0.34281E+03
    0.37434E-03    0.34946E+03
    0.38190E-03    0.35624E+03
    0.38962E-03    0.36315E+03
    0.39749E-03    0.37020E+03
    0.40552E-03    0.37737E+03
    0.41371E-03    0.38469E+03
    0.42207E-03    0.39214E+03
    0.43060E-03    0.39974E+03
    0.43929E-03    0.40748E+03
    0.44817E-03    0.41538E+03
    0.45722E-03    0.42342E+03
    0.46646E-03    0.43161E+03
    0.47588E-03    0.43996E+03
    0.48550E-03    0.44847E+03
    0.49530E-03    0.45714E+03
    0.50531E-03    0.46598E+03
    0.51552E-03    0.47498E+03
    0.52593E-03    0.48415E+03
    0.53656E-03    0.49350E+03
    0.54739E-03    0.50302E+03
    0.55845E-03    0.51273E+03
    0.56973E-03    0.52261E+03
    0.58124E-03    0.53269E+03
    0.59299E-03    0.54295E+03
    0.60496E-03    0.55340E+03
    0.61719E-03    0.56405E+03
    0.62965E-03    0.57490E+03
    0.64237E-03    0.58596E+03
    0.65535E-03    0.59722E+03
    0.66859E-03    0.60869E+03
    0.68210E-03    0.62037E+03
    0.69588E-03    0.63228E+03
    0.70993E-03    0.64440E+03
    0.72427E-03    0.65674E+03
    0.73891E-03    0.66932E+03
    0.75383E-03    0.68213E+03
    0.76906E-03    0.69517E+03
    0.78460E-03    0.70846E+03
    0.80045E-03    0.72198E+03
    0.81662E-03    0.73576E+03
    0.83311E-03    0.74979E+03
    0.84994E-03    0.76407E+03
    0.86711E-03    0.77861E+03
    0.88463E-03    0.79342E+03
    0.90250E-03    0.80850E+03
    0.92073E-03    0.82385E+03
    0.93933E-03    0.83947E+03
    0.95831E-03    0.85538E+03
    0.97767E-03    0.87157E+03
    0.99742E-03    0.88806E+03
    0.10176E-02    0.90483E+03
    0.10381E-02    0.92191E+03
    0.10591E-02    0.93929E+03
    0.10805E-02    0.95697E+03
    0.11023E-02    0.97497E+03
    0.11246E-02    0.99329E+03
    0.11473E-02    0.10119E+04
    0.11705E-02    0.10309E+04
    0.11941E-02    0.10502E+04
    0.12182E-02    0.10698E+04
    0.12429E-02    0.10898E+04
    0.12680E-02    0.11101E+04
    0.12936E-02    0.11308E+04
    0.13197E-02    0.11518E+04
    0.13464E-02    0.11731E+04
    0.13736E-02    0.11949E+04
    0.14013E-02    0.12170E+04
    0.14296E-02    0.12395E+04
    0.14585E-02    0.12623E+04
    0.14880E-02    0.12856E+04
    0.15180E-02    0.13092E+04
    0.15487E-02    0.13332E+04
    0.15800E-02    0.13576E+04
    0.16119E-02    0.13824E+04
    0.16445E-02    0.14076E+04
    0.16777E-02    0.14332E+04
    0.17116E-02    0.14593E+04
    0.17462E-02    0.14857E+04
    0.17814E-02    0.15126E+04
    0.18174E-02    0.15399E+04
    0.18541E-02    0.15676E+04
    0.18916E-02    0.15957E+04
    0.19298E-02    0.16243E+04
    0.19688E-02    0.16533E+04
    0.20086E-02    0.16828E+04
    0.20491E-02    0.17127E+04
    0.20905E-02    0.17431E+04
    0.21328E-02    0.17739E+04
    0.21758E-02    0.18052E+04
    0.22198E-02    0.18369E+04
    0.22646E-02    0.18691E+04
    0.23104E-02    0.19017E+04
    0.23571E-02    0.19349E+04
    0.24047E-02    0.19684E+04
    0.24533E-02    0.20025E+04
    0.25028E-02    0.20370E+04
    0.25534E-02    0.20720E+04
    0.26050E-02    0.21074E+04
    0.26576E-02    0.21434E+04
    0.27113E-02    0.21798E+04
    0.27660E-02    0.22166E+04
    0.28219E-02    0.22540E+04
    0.28789E-02    0.22918E+04
    0.29371E-02    0.23300E+04
    0.29964E-02    0.23688E+04
    0.30569E-02    0.24080E+04
    0.31187E-02    0.24477E+04
    0.31817E-02    0.24878E+04
    0.32460E-02    0.25284E+04
    0.33115E-02    0.25694E+04
    0.33784E-02    0.26109E+04
